,u,g,r,i,z,class,redshift
50484,18.495279999999998,17.01472,16.28061,15.82969,15.5549,1.0,0.07190479
50486,18.8951,17.698320000000002,17.24625,16.933310000000002,16.80272,1.0,0.06746743
50488,18.22055,17.31524,16.98704,16.85591,16.82047,1.0,0.0
50492,18.1944,16.96575,16.53172,16.27092,16.13133,1.0,0.029680900000000003
50494,19.177870000000002,17.49673,16.72101,16.352629999999998,16.06952,1.0,0.06132487
50498,19.11066,17.18601,16.29409,15.879470000000001,15.566889999999999,1.0,0.06905136
50504,18.87904,17.68016,17.19381,16.88056,16.68765,1.0,0.06402234
50512,18.49917,17.175179999999997,16.53087,16.15204,15.892420000000001,1.0,0.05240091
50514,18.6717,17.276320000000002,16.575020000000002,16.19923,15.90445,1.0,0.02460699
50516,18.217229999999997,17.23901,16.8153,16.49829,16.383029999999998,1.0,0.05183841
50521,18.1876,16.95549,16.35151,15.963579999999999,15.731670000000001,1.0,0.06951337
50537,18.41476,17.43198,17.08251,16.89066,16.734379999999998,1.0,0.02265493
50544,18.99973,17.07929,16.26877,15.920860000000001,15.720770000000002,0.0,7.039024e-05
50547,18.838420000000003,17.66226,17.23496,16.98873,16.73207,1.0,0.03651594
50557,18.85611,17.107129999999998,16.266579999999998,15.868870000000001,15.56426,1.0,0.05522308
50563,19.218220000000002,17.106820000000003,16.32402,16.04542,15.894120000000001,0.0,6.365921e-05
50564,18.7517,17.37057,16.690620000000003,16.32762,16.06756,1.0,0.07459495
50571,18.33455,17.358320000000003,17.03407,16.7686,16.63595,1.0,0.04605537
50580,18.485970000000002,17.362379999999998,17.02088,16.833470000000002,16.78102,0.0,0.0003302832
50587,18.702379999999998,17.220029999999998,16.519920000000003,16.14501,15.847129999999998,1.0,0.0349397
50611,18.62183,17.1614,16.4626,16.04305,15.76225,1.0,0.0643186
50627,18.69151,17.33109,16.669179999999997,16.286620000000003,15.966239999999999,1.0,0.06861097
50643,18.79391,17.122889999999998,16.31691,15.911589999999999,15.600539999999999,1.0,0.05912305
50651,18.4053,17.034779999999998,16.38165,16.042820000000003,15.74865,1.0,0.02988947
50661,18.23017,17.13983,16.73007,16.38247,16.23909,1.0,0.06930084
50666,19.24399,17.68019,17.11626,16.92249,16.84392,0.0,-9.179206e-06
50672,18.90108,17.402739999999998,16.885920000000002,16.60928,16.52563,1.0,0.03665404
50674,19.22834,17.54575,16.86441,16.60097,16.433989999999998,0.0,-1.292878e-05
50682,19.17427,17.33784,16.476,16.070629999999998,15.766689999999999,1.0,0.04730629
50690,18.66541,17.07915,16.4591,16.09892,15.852689999999999,1.0,0.05257281
50699,19.21925,17.56029,16.967010000000002,16.7804,16.68382,0.0,0.0002268609
50706,19.13277,17.53904,16.776,16.42126,16.172629999999998,1.0,0.02829256
50725,18.8722,17.52619,17.07585,16.88231,16.78888,1.0,0.01786385
50731,18.76901,17.109370000000002,16.49614,16.29393,16.21045,0.0,7.044134e-05
50744,19.20031,17.628770000000003,16.8826,16.54073,16.2651,1.0,0.02747801
50748,18.28046,17.33699,17.06936,16.918670000000002,16.80284,1.0,0.01898468
50768,18.30509,17.12445,16.61186,16.28654,16.13745,1.0,0.06692766
50771,19.08539,17.85643,17.32473,17.02698,16.8234,1.0,0.07326063
50790,18.7363,17.514670000000002,17.073539999999998,16.82374,16.67952,1.0,0.03828185
50799,18.85292,17.43532,17.0325,16.67461,16.54423,1.0,0.07012065
50801,19.09154,17.4617,16.75358,16.30957,16.04971,1.0,0.07475119
50802,18.52124,17.06105,16.510939999999998,16.32151,16.228260000000002,0.0,4.186311e-06
50803,19.19677,17.71695,17.03011,16.67086,16.4171,1.0,0.07681331
50810,18.55919,17.38747,16.83438,16.61525,16.49677,0.0,0.0001307995
50815,19.11619,17.581570000000003,16.88849,16.491629999999997,16.17817,1.0,0.05760247
50816,18.90746,17.77078,17.37145,17.0964,16.92191,1.0,0.05628498
50818,18.38655,17.16563,16.641370000000002,16.26016,16.02546,1.0,0.05624769
50838,19.2319,17.46525,16.69755,16.39813,16.23511,0.0,0.0001675123
50839,18.67381,17.34196,16.69276,16.31139,16.04232,1.0,0.054096000000000005
50842,19.027520000000003,17.305889999999998,16.47085,16.02864,15.68387,1.0,0.04439897
50845,18.53262,17.28554,16.61961,16.45811,16.38486,0.0,4.388e-05
50846,18.69142,17.06664,16.50224,16.31746,16.23699,0.0,1.361989e-05
50868,18.222070000000002,17.22338,16.78878,16.4897,16.355629999999998,1.0,0.05765466
50869,19.18608,17.33532,16.42651,16.007089999999998,15.69215,1.0,0.07698644
50872,18.76654,17.2551,16.533179999999998,16.12165,15.8652,1.0,0.05806411
50879,19.18713,17.81955,17.124779999999998,16.69643,16.386689999999998,1.0,0.04763406
50880,18.15126,16.90948,16.39046,16.13307,16.01758,1.0,0.02992307
50881,18.8862,17.70861,17.2879,17.1021,16.96174,1.0,0.03650664
50886,18.46196,17.45402,17.15168,16.91055,16.83184,1.0,0.06966723
50906,18.75487,17.26221,16.41844,15.93705,15.57156,1.0,0.07778123
50916,18.80398,17.61954,17.27028,16.986829999999998,16.913420000000002,1.0,0.04915877
50932,18.90306,17.51675,16.97012,16.78395,16.696579999999997,0.0,-1.707619e-05
50937,18.7915,17.704179999999997,17.279510000000002,17.019579999999998,16.9187,1.0,0.05144843
50943,19.14708,17.57339,17.01428,16.70694,16.561320000000002,1.0,0.06465273
50989,19.12744,17.41364,16.616410000000002,16.255370000000003,15.93569,1.0,0.04610086
51004,18.84364,17.584970000000002,17.05359,16.84147,16.69613,1.0,0.02475184
51008,18.23722,17.18672,16.72346,16.48698,16.2867,1.0,0.02318214
51011,18.2355,17.10504,16.66197,16.40221,16.26831,1.0,0.05832423
51012,19.19482,17.76991,17.12931,16.73987,16.47157,1.0,0.07498983
51026,18.87496,17.70887,17.13775,16.7431,16.595,1.0,0.06662742
51036,19.23141,17.74898,17.133210000000002,16.85344,16.71999,0.0,6.140357e-05
51039,18.9278,17.61724,17.20678,16.99519,16.84966,1.0,0.04034071
51047,19.0596,17.6061,16.87092,16.52724,16.2065,1.0,0.03739382
51053,18.27185,17.31308,16.95341,16.84901,16.74986,0.0,0.0008577795
51060,18.5404,17.53132,17.14474,16.93904,16.78507,1.0,0.02146877
51062,18.6432,17.40863,16.9333,16.61365,16.401,1.0,0.04553831
51080,18.586370000000002,17.410829999999997,16.88709,16.65362,16.54089,0.0,0.00017685630000000002
51084,19.081979999999998,17.18854,16.300420000000003,15.90719,15.568629999999999,1.0,0.06611124
51088,19.12395,17.25181,16.41755,15.992429999999999,15.6545,1.0,0.06764196
51094,19.037689999999998,17.73602,17.21559,16.94415,16.771910000000002,1.0,0.02208111
51103,19.09122,17.61682,17.00186,16.62557,16.42372,1.0,0.07184750000000001
51104,18.88331,17.57842,17.23161,17.00219,16.87379,1.0,0.04418102
51108,18.56682,17.18848,16.59787,16.26696,16.01231,1.0,0.04064383
51150,19.13007,17.20276,16.27845,15.861189999999999,15.53677,1.0,0.05866499
51153,18.68319,17.61072,17.21717,16.95993,16.742820000000002,1.0,0.03734347
51160,18.810129999999997,17.230729999999998,16.52851,16.18995,15.952029999999999,1.0,0.02121874
51173,18.36867,17.128079999999997,16.58563,16.35256,16.22346,0.0,0.0001999088
51188,18.53155,17.397879999999997,16.87999,16.52562,16.32188,1.0,0.04882688
51191,18.48881,17.18068,16.57836,16.18168,15.971429999999998,1.0,0.07819581
51199,18.37527,17.25355,16.88275,16.71463,16.67926,1.0,0.01238773
51201,18.71025,17.621270000000003,17.21234,16.90261,16.7294,1.0,0.05511983
51209,18.93305,17.50388,16.85227,16.48989,16.285220000000002,1.0,0.04373603
51221,19.21358,17.07372,16.15811,15.81749,15.613829999999998,0.0,6.874399999999999e-05
51269,19.044729999999998,17.68829,17.02917,16.632279999999998,16.37334,1.0,0.06083046
51272,18.51243,17.4109,17.00515,16.8193,16.71409,1.0,0.005642978000000001
51282,18.89264,17.27724,16.62455,16.36776,16.22789,0.0,0.0008748327
51285,18.34284,17.24557,16.91672,16.80771,16.7666,1.0,0.0
51287,18.50521,17.06949,16.49225,16.27709,16.16196,0.0,0.0002966369
51290,18.51164,17.042820000000003,16.38317,15.99589,15.74564,1.0,0.05442811
51293,18.344070000000002,17.10052,16.46519,16.114539999999998,15.82134,1.0,0.07591069
51299,18.7758,17.74154,17.25947,17.02385,16.907729999999997,1.0,0.04341793
51301,19.18736,17.3098,16.4165,16.00173,15.67503,1.0,0.05937438
51323,19.03431,17.53704,16.77599,16.40796,16.09931,1.0,0.0679061
51330,18.58539,17.440170000000002,16.98545,16.70627,16.55293,1.0,0.03834352
51341,18.67959,17.66678,17.18475,16.86714,16.63707,1.0,0.04262735
51351,19.07979,17.378529999999998,16.772920000000003,16.657420000000002,16.49837,0.0,0.00021889099999999997
51364,18.5416,17.49255,17.16629,17.00224,16.92345,1.0,0.009533254
51383,19.058729999999997,17.68262,17.08145,16.80349,16.709529999999997,0.0,0.0005824316
51403,18.84875,17.78396,17.31561,17.012970000000003,16.87572,1.0,0.06785155
51405,18.646079999999998,17.47845,17.08418,16.80785,16.69329,1.0,0.04660738
51411,19.06856,17.5069,16.97616,16.77822,16.70712,0.0,0.0001510593
51414,19.165429999999997,17.7106,17.14816,16.93074,16.814410000000002,0.0,2.6377730000000003e-06
51463,18.58725,17.09415,16.40529,16.05365,15.813039999999999,1.0,0.06412837
51472,18.85826,17.36788,16.7216,16.364,16.09134,1.0,0.05904577
51477,19.20524,17.78652,17.18338,16.83217,16.67485,1.0,0.07715841
51495,18.88906,17.65907,17.24694,16.99257,16.91826,1.0,0.04738238
51496,18.379360000000002,17.3982,17.109360000000002,17.013289999999998,16.98023,0.0,0.000219077
51504,18.7549,17.50345,17.01991,16.727079999999997,16.53418,1.0,0.04615458
51514,18.35502,17.35575,16.964570000000002,16.67657,16.58267,1.0,0.07652368
51517,19.23622,17.7105,16.94635,16.5271,16.2557,1.0,0.07793044
51519,18.454729999999998,17.430989999999998,17.03738,16.75101,16.59313,1.0,0.05560734
51534,18.82955,17.709629999999997,17.27028,17.018810000000002,16.89152,1.0,0.02746511
51538,18.7156,17.58961,17.122339999999998,16.8312,16.64453,1.0,0.07420681
51539,18.25321,17.27102,16.88953,16.74801,16.6733,0.0,-3.540632e-06
51568,18.50476,17.23762,16.73773,16.56289,16.483610000000002,0.0,4.75109e-05
51570,18.94622,17.61092,16.97914,16.5032,16.2062,1.0,0.06610404
51577,18.53677,17.22822,16.63419,16.29009,16.042270000000002,1.0,0.04728274
51580,18.79758,17.409979999999997,16.72022,16.32939,16.11448,1.0,0.05557555
51583,18.84335,17.36538,16.72754,16.47738,16.33226,0.0,0.00010257290000000002
